LETTER ANALYSIS

Letter	Freq	Freq%	AvgFreq%  Diff
    A	81144	17.8	8.2	  9.6
    B	0	0.0	1.5	  -1.5
    C	0	0.0	2.8	  -2.8
    D	20286	4.4	4.3	  0.1
    E	40572	8.9	12.7	  -3.8
    F	0	0.0	2.2	  -2.2
    G	0	0.0	2.0	  -2.0
    H	0	0.0	6.1	  -6.1
    I	71001	15.6	7.0	  8.6
    J	0	0.0	0.2	  -0.2
    K	10143	2.2	0.8	  1.4
    L	0	0.0	4.0	  -4.0
    M	40572	8.9	2.4	  6.5
    N	10143	2.2	6.7	  -4.5
    O	50715	11.1	7.5	  3.6
    P	10143	2.2	1.9	  0.3
    Q	0	0.0	0.1	  -0.1
    R	30429	6.7	6.0	  0.7
    S	40572	8.9	6.3	  2.6
    T	30429	6.7	9.1	  -2.4
    U	10143	2.2	2.8	  -0.6
    V	10143	2.2	1.0	  1.2
    W	0	0.0	2.4	  -2.4
    X	0	0.0	0.2	  -0.2
    Y	0	0.0	2.0	  -2.0
    Z	0	0.0	0.1	  -0.1

The most frequent letter is A at 17.8%.
