LETTER ANALYSIS

Letter	Freq	Freq%	AvgFreq%  Diff
    A	2	10.5	8.2	  2.3
    B	0	0.0	1.5	  -1.5
    C	0	0.0	2.8	  -2.8
    D	0	0.0	4.3	  -4.3
    E	0	0.0	12.7	  -12.7
    F	1	5.3	2.2	  3.1
    G	1	5.3	2.0	  3.3
    H	0	0.0	6.1	  -6.1
    I	0	0.0	7.0	  -7.0
    J	3	15.8	0.2	  15.6
    K	0	0.0	0.8	  -0.8
    L	2	10.5	4.0	  6.5
    M	0	0.0	2.4	  -2.4
    N	0	0.0	6.7	  -6.7
    O	2	10.5	7.5	  3.0
    P	0	0.0	1.9	  -1.9
    Q	1	5.3	0.1	  5.2
    R	0	0.0	6.0	  -6.0
    S	1	5.3	6.3	  -1.0
    T	0	0.0	9.1	  -9.1
    U	0	0.0	2.8	  -2.8
    V	0	0.0	1.0	  -1.0
    W	1	5.3	2.4	  2.9
    X	0	0.0	0.2	  -0.2
    Y	4	21.1	2.0	  19.1
    Z	1	5.3	0.1	  5.2

The most frequent letter is Y at 21.1%.
